X,Erf
-9.372,-1.0
-9.37,-1.0
-9.368,-1.0
-9.366,-1.0
-9.364,-1.0
-9.362,-1.0
-9.36,-1.0
-9.358,-1.0
-9.356,-1.0
-9.354,-1.0
-9.352,-1.0
-9.35,-1.0
-9.348,-1.0
-9.346,-1.0
-9.344,-1.0
-9.342,-1.0
-9.34,-1.0
-9.338,-1.0
-9.336,-1.0
-9.334,-1.0
-9.332,-1.0
-9.33,-1.0
-9.328,-1.0
-9.326,-1.0
-9.324,-1.0
-9.322,-1.0
-9.32,-1.0
-9.318,-1.0
-9.316,-1.0
-9.314,-1.0
-9.312,-1.0
-9.31,-1.0
-9.308,-1.0
-9.306,-1.0
-9.304,-1.0
-9.302,-1.0
-9.3,-1.0
-9.298,-1.0
-9.296,-1.0
-9.294,-1.0
-9.292,-1.0
-9.29,-1.0
-9.288,-1.0
-9.286,-1.0
-9.284,-1.0
-9.282,-1.0
-9.28,-1.0
-9.278,-1.0
-9.276,-1.0
-9.274000000000001,-1.0
-9.272,-1.0
-9.27,-1.0
-9.268,-1.0
-9.266,-1.0
-9.264,-1.0
-9.262,-1.0
-9.26,-1.0
-9.258,-1.0
-9.256,-1.0
-9.254,-1.0
-9.252,-1.0
-9.25,-1.0
-9.248,-1.0
-9.246,-1.0
-9.244,-1.0
-9.242,-1.0
-9.24,-1.0
-9.238,-1.0
-9.236,-1.0
-9.234,-1.0
-9.232,-1.0
-9.23,-1.0
-9.228,-1.0
-9.225999999999999,-1.0
-9.224,-1.0
-9.222,-1.0
-9.22,-1.0
-9.218,-1.0
-9.216,-1.0
-9.214,-1.0
-9.212,-1.0
-9.21,-1.0
-9.208,-1.0
-9.206,-1.0
-9.204,-1.0
-9.202,-1.0
-9.2,-1.0
-9.198,-1.0
-9.196,-1.0
-9.193999999999999,-1.0
-9.192,-1.0
-9.19,-1.0
-9.188,-1.0
-9.186,-1.0
-9.184,-1.0
-9.182,-1.0
-9.18,-1.0
-9.178,-1.0
-9.176,-1.0
-9.174,-1.0
-9.172,-1.0
-9.17,-1.0
-9.168,-1.0
-9.166,-1.0
-9.164,-1.0
-9.162,-1.0
-9.16,-1.0
-9.158,-1.0
-9.156,-1.0
-9.154,-1.0
-9.152,-1.0
-9.15,-1.0
-9.148,-1.0
-9.146,-1.0
-9.144,-1.0
-9.142,-1.0
-9.14,-1.0
-9.138,-1.0
-9.136,-1.0
-9.134,-1.0
-9.132,-1.0
-9.13,-1.0
-9.128,-1.0
-9.126,-1.0
-9.124,-1.0
-9.122,-1.0
-9.12,-1.0
-9.118,-1.0
-9.116,-1.0
-9.114,-1.0
-9.112,-1.0
-9.11,-1.0
-9.108,-1.0
-9.106,-1.0
-9.104,-1.0
-9.102,-1.0
-9.1,-1.0
-9.098,-1.0
-9.096,-1.0
-9.094,-1.0
-9.092,-1.0
-9.09,-1.0
-9.088,-1.0
-9.086,-1.0
-9.084,-1.0
-9.082,-1.0
-9.08,-1.0
-9.078,-1.0
-9.076,-1.0
-9.074,-1.0
-9.072,-1.0
-9.07,-1.0
-9.068,-1.0
-9.066,-1.0
-9.064,-1.0
-9.062,-1.0
-9.06,-1.0
-9.058,-1.0
-9.056,-1.0
-9.054,-1.0
-9.052,-1.0
-9.05,-1.0
-9.048,-1.0
-9.046,-1.0
-9.044,-1.0
-9.042,-1.0
-9.04,-1.0
-9.038,-1.0
-9.036,-1.0
-9.034,-1.0
-9.032,-1.0
-9.03,-1.0
-9.028,-1.0
-9.026,-1.0
-9.024000000000001,-1.0
-9.022,-1.0
-9.02,-1.0
-9.018,-1.0
-9.016,-1.0
-9.014,-1.0
-9.012,-1.0
-9.01,-1.0
-9.008,-1.0
-9.006,-1.0
-9.004,-1.0
-9.002,-1.0
-9.0,-1.0
-8.998,-1.0
-8.996,-1.0
-8.994,-1.0
-8.992,-1.0
-8.99,-1.0
-8.988,-1.0
-8.986,-1.0
-8.984,-1.0
-8.982,-1.0
-8.98,-1.0
-8.978,-1.0
-8.975999999999999,-1.0
-8.974,-1.0
-8.972,-1.0
-8.97,-1.0
-8.968,-1.0
-8.966,-1.0
-8.964,-1.0
-8.962,-1.0
-8.96,-1.0
-8.958,-1.0
-8.956,-1.0
-8.954,-1.0
-8.952,-1.0
-8.95,-1.0
-8.948,-1.0
-8.946,-1.0
-8.943999999999999,-1.0
-8.942,-1.0
-8.94,-1.0
-8.938,-1.0
-8.936,-1.0
-8.934,-1.0
-8.932,-1.0
-8.93,-1.0
-8.928,-1.0
-8.926,-1.0
-8.924,-1.0
-8.922,-1.0
-8.92,-1.0
-8.918,-1.0
-8.916,-1.0
-8.914,-1.0
-8.911999999999999,-1.0
-8.91,-1.0
-8.908,-1.0
-8.906,-1.0
-8.904,-1.0
-8.902,-1.0
-8.9,-1.0
-8.898,-1.0
-8.896,-1.0
-8.894,-1.0
-8.892,-1.0
-8.89,-1.0
-8.888,-1.0
-8.886,-1.0
-8.884,-1.0
-8.882,-1.0
-8.879999999999999,-1.0
-8.878,-1.0
-8.876,-1.0
-8.874,-1.0
-8.872,-1.0
-8.87,-1.0
-8.868,-1.0
-8.866,-1.0
-8.864,-1.0
-8.862,-1.0
-8.86,-1.0
-8.858,-1.0
-8.856,-1.0
-8.854,-1.0
-8.852,-1.0
-8.85,-1.0
-8.847999999999999,-1.0
-8.846,-1.0
-8.844,-1.0
-8.842,-1.0
-8.84,-1.0
-8.838000000000001,-1.0
-8.836,-1.0
-8.834,-1.0
-8.832,-1.0
-8.83,-1.0
-8.828,-1.0
-8.826,-1.0
-8.824,-1.0
-8.822,-1.0
-8.82,-1.0
-8.818,-1.0
-8.816,-1.0
-8.814,-1.0
-8.812,-1.0
-8.81,-1.0
-8.808,-1.0
-8.806000000000001,-1.0
-8.804,-1.0
-8.802,-1.0
-8.8,-1.0
-8.798,-1.0
-8.796,-1.0
-8.794,-1.0
-8.792,-1.0
-8.79,-1.0
-8.788,-1.0
-8.786,-1.0
-8.784,-1.0
-8.782,-1.0
-8.78,-1.0
-8.778,-1.0
-8.776,-1.0
-8.774000000000001,-1.0
-8.772,-1.0
-8.77,-1.0
-8.768,-1.0
-8.766,-1.0
-8.764,-1.0
-8.762,-1.0
-8.76,-1.0
-8.758,-1.0
-8.756,-1.0
-8.754,-1.0
-8.752,-1.0
-8.75,-1.0
-8.748,-1.0
-8.746,-1.0
-8.744,-1.0
-8.742,-1.0
-8.74,-1.0
-8.738,-1.0
-8.736,-1.0
-8.734,-1.0
-8.732,-1.0
-8.73,-1.0
-8.728,-1.0
-8.725999999999999,-1.0
-8.724,-1.0
-8.722,-1.0
-8.72,-1.0
-8.718,-1.0
-8.716,-1.0
-8.714,-1.0
-8.712,-1.0
-8.71,-1.0
-8.708,-1.0
-8.706,-1.0
-8.704,-1.0
-8.702,-1.0
-8.7,-1.0
